millis,time,mode,dt_control,v_raw,v_hat,v_ref,z_ref,z_meas,u_intVertical,u_pi,leftThrust,rightThrust,
34359,18:00:43,ALTITUDE_HOLD,0.1,0.01,0.01,0.446,1,0.256,0.02,0,0,0,
34459,18:00:43,ALTITUDE_HOLD,0.1,0.02,0.02,0.445,1,0.258,0.024,0,0,0,
34559,18:00:44,ALTITUDE_HOLD,0.1,0.02,0.02,0.444,1,0.26,0.027,0,0,0,
34659,18:00:44,ALTITUDE_HOLD,0.1,0.04,0.04,0.442,1,0.264,0.031,0,0,0,
34759,18:00:44,ALTITUDE_HOLD,0.1,0.03,0.03,0.44,1,0.267,0.035,0,0,0,
34859,18:00:44,ALTITUDE_HOLD,0.1,0.03,0.03,0.438,1,0.27,0.038,0,0,0,
34959,18:00:44,ALTITUDE_HOLD,0.1,0.05,0.05,0.435,1,0.275,0.042,0,0,0,
35059,18:00:44,ALTITUDE_HOLD,0.1,0.03,0.03,0.433,1,0.278,0.045,0,0,0,
35159,18:00:44,ALTITUDE_HOLD,0.1,0.04,0.04,0.431,1,0.282,0.049,0,0,0,
35259,18:00:44,ALTITUDE_HOLD,0.1,0.08,0.08,0.426,1,0.29,0.052,0,0,0,
35359,18:00:44,ALTITUDE_HOLD,0.1,0.03,0.03,0.424,1,0.293,0.056,0,0,0,
35459,18:00:44,ALTITUDE_HOLD,0.1,0.08,0.08,0.419,1,0.301,0.059,0,0,0,
35559,18:00:45,ALTITUDE_HOLD,0.1,0.03,0.03,0.418,1,0.304,0.062,0,0,0,
35659,18:00:45,ALTITUDE_HOLD,0.1,0.08,0.08,0.413,1,0.312,0.065,0,0,0,
35759,18:00:45,ALTITUDE_HOLD,0.1,0.05,0.05,0.41,1,0.317,0.068,0,0,0,
35859,18:00:45,ALTITUDE_HOLD,0.1,0.08,0.08,0.405,1,0.325,0.071,0,0,0,
35959,18:00:45,ALTITUDE_HOLD,0.1,0.06,0.06,0.401,1,0.331,0.074,0,0,0,
36059,18:00:45,ALTITUDE_HOLD,0.1,0.12,0.12,0.394,1,0.343,0.077,0,0,0,
36159,18:00:45,ALTITUDE_HOLD,0.1,0.12,0.12,0.387,1,0.355,0.079,0,0,0,
36259,18:00:45,ALTITUDE_HOLD,0.1,0.03,0.03,0.385,1,0.358,0.083,0,0,0,
36359,18:00:45,ALTITUDE_HOLD,0.1,0.1,0.1,0.379,1,0.368,0.085,0,0,0,
36459,18:00:45,ALTITUDE_HOLD,0.1,0.05,0.05,0.376,1,0.373,0.088,0,0,0,
36559,18:00:46,ALTITUDE_HOLD,0.1,0.02,0.02,0.375,1,0.375,0.091,0,0,0,
36659,18:00:46,ALTITUDE_HOLD,0.1,0.17,0.17,0.365,1,0.392,0.093,0,0,0,
36759,18:00:46,ALTITUDE_HOLD,0.1,0.05,0.05,0.362,1,0.397,0.096,0,0,0,
36859,18:00:46,ALTITUDE_HOLD,0.1,0.16,0.16,0.352,1,0.413,0.097,0,0,0,
36959,18:00:46,ALTITUDE_HOLD,0.1,0.11,0.11,0.346,1,0.424,0.1,0,0,0,
37059,18:00:46,ALTITUDE_HOLD,0.1,0.09,0.09,0.34,1,0.433,0.102,0,0,0,
37159,18:00:46,ALTITUDE_HOLD,0.1,0.07,0.07,0.336,1,0.44,0.104,0,0,0,
37259,18:00:46,ALTITUDE_HOLD,0.1,0.12,0.12,0.329,1,0.452,0.106,0,0,0,
37359,18:00:46,ALTITUDE_HOLD,0.1,0.11,0.11,0.322,1,0.463,0.108,0,0,0,
37459,18:00:46,ALTITUDE_HOLD,0.1,0.15,0.15,0.313,1,0.478,0.109,0,0,0,
37559,18:00:47,ALTITUDE_HOLD,0.1,0.14,0.14,0.305,1,0.492,0.111,0,0,0,
